N,Helstrom_Pe,Kennedy_beta0,Kennedy_opt,beta_star
1.1053109783978399,0.003013901614485337,0.006009636023087142,0.005717119442843197,0.023178203097339617
1.10551099829983,0.0030114839147725725,0.006004829758807213,0.005712713750548681,0.023162861743534293
1.1057110182018202,0.003009068160385542,0.006000027338383418,0.0057083113695577566,0.02314752968636155
1.1059110381038104,0.003006654349749671,0.005995228758741598,0.005703912297476873,0.02313220691853396
1.1061110580058007,0.0030042424812914414,0.005990434016810066,0.005699516531914145,0.023116893057380898
1.1063110779077907,0.003001832553438666,0.00598564310951956,0.0056951240704792815,0.023101589227125786
1.106511097809781,0.00299942456462049,0.005980856033803293,0.00569073491078365,0.023086294304018387
1.1067111177117712,0.0029970185132673355,0.005976072786596934,0.005686349050440242,0.023071008633514606
1.1069111376137615,0.0029946143978108464,0.005971293364838584,0.005681966487063669,0.023055732260300475
1.1071111575157515,0.0029922122166840537,0.005966517765468808,0.005677587218270187,0.023040465132732457
1.1073111774177418,0.0029898119683212654,0.005961745985430622,0.00567321124167767,0.02302520726239597
1.107511197319732,0.002987413651157844,0.005956978021669471,0.0056688385549056326,0.023009958624499158
1.1077112172217223,0.002985017263630818,0.005952213871133246,0.005664469155575187,0.022994719273069723
1.1079112371237123,0.002982622804178159,0.005947453530772285,0.0056601030413091025,0.022979489145077112
1.1081112570257026,0.0029802302712392814,0.0059426969975393835,0.005655740209731762,0.02296426825381948
1.1083112769276928,0.002977839663254933,0.005937944268389728,0.005651380658469161,0.02294905659559304
1.108511296829683,0.002975450978666916,0.0059331953402809706,0.005647024385148917,0.022933854166514098
1.1087113167316731,0.002973064215918586,0.005928450210173215,0.005642671387400302,0.022918660959431764
1.1089113366336634,0.0029706793734543546,0.005923708875028936,0.00563832166285415,0.02290347697294142
1.1091113565356536,0.002968296449719965,0.005918971331813112,0.005633975209142971,0.022888302201033918
1.1093113764376439,0.002965915443162548,0.005914237577493095,0.005629632023900856,0.022873136634299625
1.109511396339634,0.002963536352230345,0.005909507609038679,0.005625292104763525,0.02285798013434012
1.1097114162416242,0.0029611591753729294,0.005904781423422068,0.005620955449368304,0.02284283312465505
1.1099114361436144,0.0029587839110412073,0.0059000590176179245,0.005616622055354155,0.02282769515105701
1.1101114560456047,0.00295641055768725,0.005895340388603299,0.005612291920361644,0.022812566606981152
1.1103114759475947,0.0029540391137644617,0.005890625533357676,0.005607965042032946,0.022797446787951064
1.110511495849585,0.002951669577727578,0.0058859144488629216,0.005603641418011832,0.02278233637472528
1.1107115157515752,0.0029493019480323346,0.005881207132103369,0.005599321045943724,0.022767236633939782
1.1109115356535655,0.0029469362231360763,0.005876503580065714,0.005595003923475605,0.022752143078969986
1.1111115555555555,0.002944572401497203,0.005871803789739111,0.005590690048256118,0.02273706012512263
1.1113115754575458,0.0029422104815753913,0.005867107758115072,0.005586379417935468,0.022721986448630518
1.111511595359536,0.0029398504618317056,0.005862415482187542,0.00558207203016549,0.02270692138742206
1.1117116152615263,0.002937492340728265,0.005857726958952868,0.005577767882599618,0.022691866424260132
1.1119116351635163,0.0029351361167286316,0.005853042185409796,0.005573466972892895,0.022676820168288023
1.1121116550655066,0.0029327817882974783,0.005848361158559493,0.0055691692987019726,0.022661783033359792
1.1123116749674968,0.0029304293539009207,0.0058436838754054735,0.005564874857685078,0.022646755334342548
1.112511694869487,0.002928078812006185,0.005839010332953697,0.005560583647502073,0.02263173617229693
1.1127117147714771,0.002925730161081719,0.005834340528212517,0.005556295665814413,0.02261672643727252
1.1129117346734674,0.002923383399597357,0.005829674458192641,0.005552010910285132,0.022601725825373817
1.1131117545754576,0.0029210385260241,0.005825012119907181,0.005547729378578862,0.02258673430976747
1.1133117744774477,0.0029186955388342817,0.005820353510371687,0.005543451068361888,0.022571751994202326
1.113511794379438,0.0029163544365012894,0.0058156986266040085,0.005539175977302008,0.022556780238810203
1.1137118142814282,0.0029140152175000655,0.005811047465624459,0.005534904103068677,0.02254181452152236
1.1139118341834184,0.0029116778803064958,0.005806400024455681,0.005530635443332916,0.022526859060849537
1.1141118540854085,0.0029093424233979648,0.005801756300122746,0.0055263699957673615,0.022511913486043256
1.1143118739873987,0.002907008845252912,0.0057971162896530435,0.005522107758046199,0.02249697706214572
1.114511893889389,0.002904677144351109,0.005792479990076416,0.005517848727845265,0.02248204839210516
1.1147119137913792,0.0029023473191736038,0.005787847398425005,0.005513592902841933,0.022467130109848632
1.1149119336933693,0.0029000193682026665,0.005783218511733384,0.005509340280715201,0.02245222047583968
1.1151119535953595,0.0028976932899216767,0.005778593327038472,0.005505090859145642,0.022437319916010355
1.1153119734973498,0.002895369082815513,0.005773971841379555,0.005500844635815406,0.022422428384008024
